Type,SKU,Name,Published,Regular price,Sale price,Categories,Images
simple,IMG001,Son Romand Juicy Lasting Tint,1,189000,170100,Son môi,https://picsum.photos/seed/lipstick1/800/800
simple,IMG002,Son 3CE Velvet Lip Tint,1,320000,288000,Son môi,https://picsum.photos/seed/lipstick2/800/800
simple,IMG003,Son Dior Addict Lip Glow,1,950000,855000,Son môi,https://picsum.photos/seed/lipstick3/800/800
simple,IMG004,Sữa rửa mặt CeraVe Foaming Cleanser,1,345000,310500,Sữa rửa mặt,https://picsum.photos/seed/cleanser4/800/800
simple,IMG005,Sữa rửa mặt La Roche-Posay Effaclar,1,410000,369000,Sữa rửa mặt,https://picsum.photos/seed/cleanser5/800/800
simple,IMG006,Serum The Ordinary Niacinamide,1,290000,261000,Serum,https://picsum.photos/seed/serum6/800/800
simple,IMG007,Serum Vichy Mineral 89,1,780000,702000,Serum,https://picsum.photos/seed/serum7/800/800
simple,IMG008,Kem chống nắng Anessa Perfect UV,1,620000,558000,Kem chống nắng,https://picsum.photos/seed/sunscreen8/800/800
simple,IMG009,Kem chống nắng Skin Aqua,1,210000,189000,Kem chống nắng,https://picsum.photos/seed/sunscreen9/800/800
simple,IMG010,Kem dưỡng Laneige Water Bank,1,890000,801000,Kem dưỡng,https://picsum.photos/seed/moisturizer10/800/800
simple,IMG011,Kem dưỡng CeraVe Moisturizing Cream,1,420000,378000,Kem dưỡng,https://picsum.photos/seed/moisturizer11/800/800
simple,IMG012,Nước tẩy trang Bioderma,1,390000,351000,Chăm sóc da,https://picsum.photos/seed/skincare12/800/800
