Name,Regular price,Sale price,Categories,Description
Son lì Velvet Rose,250000,199000,Son môi,Son lì cao cấp giữ màu lâu trôi.
Son dưỡng Cherry Lip,180000,150000,Son môi,Son dưỡng môi chiết xuất cherry.
Kem dưỡng ẩm Aqua Skin,320000,280000,Kem dưỡng,Kem dưỡng cấp ẩm cho da khô.
Serum Vitamin C Glow,450000,399000,Serum,Serum sáng da mờ thâm.
Sữa rửa mặt Pure Clean,220000,189000,Sữa rửa mặt,Làm sạch sâu dịu nhẹ.
Kem chống nắng Sun Protect SPF50,350000,299000,Chống nắng,Bảo vệ da khỏi tia UV.
Nước tẩy trang Fresh Water,210000,175000,Tẩy trang,Làm sạch lớp makeup hiệu quả.
Mặt nạ dưỡng da Aloe Mask,150000,120000,Mặt nạ,Dưỡng ẩm và làm dịu da.
Phấn phủ Natural Matte,390000,340000,Trang điểm,Kiềm dầu tự nhiên.
Nước hoa Sweet Love,550000,499000,Nước hoa,Hương thơm ngọt ngào quyến rũ.
